"","cvaR","cnm","cM","partial-data","equal-weight","full-data","optimal-weight.solnp","optimal-weight.osqp","CSL-cv","CSL-cen-lambda1","CSL-cen-lambda2","CSL-cen-lambda3","CSL-cen-lambda4","CSL-cen-lambda5","CSL-cen-lambda6","CSL-cen-lambda7","CSL-cen-lambda8","CSL-cen-lambda9","CSL-cen-lambda10","CSL-cen-lambda11","CSL-cen-lambda12","CSL-cen-lambda13","CSL-cen-lambda14","CSL-cen-lambda15","CSL-cen-lambda16","CSL-cen-lambda17","CSL-cen-lambda18","CSL-cen-lambda19","CSL-cen-lambda20","CSL-cen-lambda21","CSL-cen-lambda22","CSL-cen-lambda23","CSL-cen-lambda24","CSL-cen-lambda25","CSL-cen-lambda26","CSL-cen-lambda27","CSL-cen-lambda28","CSL-cen-lambda29","CSL-cen-lambda30","CSL-cen-lambda31","CSL-cen-lambda32","CSL-cen-lambda33","CSL-cen-lambda34","CSL-cen-lambda35","CSL-cen-lambda36","CSL-cen-lambda37","CSL-cen-lambda38","CSL-cen-lambda39","CSL-cen-lambda40","CSL-cen-lambda41","CSL-cen-lambda42","CSL-cen-lambda43","CSL-cen-lambda44","CSL-cen-lambda45","CSL-cen-lambda46","CSL-cen-lambda47","CSL-cen-lambda48","CSL-cen-lambda49","CSL-cen-lambda50","CSL-cen-lambda51","CSL-cen-lambda52","CSL-cen-lambda53","CSL-cen-lambda54","CSL-cen-lambda55","CSL-cen-lambda56","CSL-cen-lambda57","CSL-cen-lambda58","CSL-cen-lambda59","CSL-cen-lambda60","CSL-cen-lambda61","CSL-cen-lambda62","CSL-cen-lambda63","CSL-cen-lambda64","CSL-cen-lambda65","CSL-cen-lambda66","CSL-cen-lambda67","CSL-cen-lambda68","CSL-cen-lambda69","CSL-cen-lambda70","CSL-cen-lambda71","CSL-cen-lambda72","CSL-cen-lambda73","CSL-cen-lambda74","CSL-cen-lambda75","CSL-cen-lambda76","CSL-cen-lambda77","CSL-cen-lambda78","CSL-cen-lambda79","CSL-cen-lambda80","CSL-cen-lambda81","CSL-cen-lambda82","CSL-cen-lambda83","CSL-cen-lambda84","CSL-cen-lambda85","CSL-cen-lambda86","CSL-cen-lambda87","CSL-cen-lambda88","CSL-cen-lambda89","CSL-cen-lambda90","CSL-cen-lambda91","CSL-cen-lambda92","CSL-cen-lambda93","CSL-cen-lambda94","CSL-cen-lambda95","CSL-cen-lambda96","CSL-cen-lambda97","CSL-cen-lambda98","CSL-cen-lambda99","CSL-cen-lambda100"
"1",0.5,50,10,0.144877567707101,0.0538333186214372,0.0191706761389532,0.0320831558947571,0.0320865800798407,0.0816583201794543,0.316682084734182,0.309159508073283,0.299995045483686,0.289306791904588,0.277334383367755,0.264232591429005,0.250280895665368,0.235644898226561,0.220520768969535,0.205183652012959,0.189874712712325,0.174898991657353,0.160580442208264,0.1468862658357,0.134145400675663,0.12244697154634,0.112035686139846,0.102998251082193,0.0954173934728677,0.0894252779364778,0.0848390444275839,0.0815532344335107,0.079920378311521,0.0796563351874561,0.0807269656140732,0.0829715648591203,0.0863589509229402,0.090967764875159,0.0965209404779859,0.103175826055279,0.110690847017012,0.118856221553098,0.127627438480351,0.136877176457483,0.146729823228456,0.157077110493912,0.16806175566394,0.179602458753668,0.191640918116759,0.204234141410553,0.217420719837714,0.230836103364556,0.244566717884361,0.258822578547823,0.273473813522742,0.28891716305029,0.304932369264324,0.320979948436936,0.337250378264745,0.353150517331676,0.369314718459402,0.386117547085979,0.403666021726603,0.422097672429811,0.440993698087903,0.459971652519026,0.479408344164204,0.49922991195683,0.519365648962763,0.540049062419346,0.56098154660287,0.582183601305241,0.603561328374466,0.625110158967977,0.647246136690289,0.669524426754073,0.692216980030817,0.714689318806568,0.737279877709992,0.76049248480719,0.783808474334119,0.807695937569019,0.832346775240725,0.857756683456669,0.883797179755074,0.910333068630156,0.937693794511541,0.96591028547786,0.995092358370764,1.02531907779822,1.05595559798619,1.08734808967305,1.11969957754057,1.15320241938611,1.18790324272359,1.22383014892811,1.25964610166816,1.29659819695206,1.33481624168268,1.37432814201599,1.4151627487111,1.45554702968741,1.49633320999609,1.53844117663272,1.58058831161894,1.62277965364477,1.66629523345056,1.7105898649582,1.75320076085914,1.7953356506814
"2",0.5,50,100,0.16194902794133,0.0405684493856046,0.00544302319650576,0.00537207163074971,0.00537810705997152,0.0860344504089834,0.438796058343443,0.435067891364343,0.429362539399406,0.421750552857189,0.412309740045109,0.401185953556632,0.388542234715331,0.374590645600532,0.359334879974066,0.342889141990703,0.325540364208939,0.307493284986074,0.288899349121415,0.27001754819187,0.251110997729642,0.232441394019457,0.214247891222234,0.196691942426362,0.180030424442489,0.164444385761793,0.149928044937077,0.136872546774265,0.125299561173379,0.115197428595642,0.106935860789282,0.100302360883452,0.0952502710097722,0.0916474446542447,0.0895336869827928,0.0887509949816784,0.0891390116991043,0.0906522147344243,0.0932998337966985,0.096851818209316,0.101251262340786,0.106439232730702,0.112351371368234,0.118901388054722,0.126170246351702,0.134096665594032,0.142616180210203,0.151680742083566,0.161301279065629,0.171402696264777,0.18183510581215,0.192493982144519,0.203515493322269,0.215004419711607,0.226864679764083,0.239335189154565,0.252344741441649,0.265546559939797,0.279174333979678,0.29305757925838,0.307430323296709,0.322241866527862,0.337426986375389,0.353196931827226,0.369318428753752,0.385858768108277,0.403007288716766,0.42065451570958,0.438818182944388,0.457003776155015,0.475060581193606,0.493695096559904,0.512807334699656,0.532395735757098,0.552115885862384,0.571471467471243,0.590978593949578,0.610828404697275,0.630887131154537,0.651069377619126,0.671353003446101,0.69159613375286,0.711985923091348,0.732486921194692,0.753087329372322,0.774237326574316,0.796063859875643,0.818095589729805,0.840476558889261,0.863245929011732,0.886698256825122,0.910920979065586,0.935782681708757,0.961404825741465,0.98791659704802,1.015339863824,1.04357427577653,1.07252913193412,1.10167576493673,1.13171953828962,1.16274663909275,1.1939429969896,1.22529347384812,1.25684223022023,1.28930954779389,1.32278378758922
"3",0.5,100,10,0.0842858351469696,0.0231169561204419,0.0115017341346068,0.0157887447796764,0.0157884360716703,0.0344171466486216,0.0424183277848294,0.0417070009841468,0.0409057607907846,0.0400165616226647,0.0390616625103231,0.0380609987160641,0.0370246136823716,0.0359852260620757,0.0349674672266914,0.0339840988894879,0.0330565332987631,0.0322029233919669,0.0314671077258004,0.0308547789286951,0.0303956397960771,0.0301067020757184,0.0300065514369367,0.0300991285631695,0.0304136053735783,0.0309519283655207,0.0317409064729377,0.032751233768982,0.0340058494854566,0.0355193011369786,0.0372601378176443,0.0392561633271943,0.0414906655532371,0.0439582036650539,0.0466439703490411,0.0495180972392718,0.0526189132672505,0.05595986555618,0.0595132334458775,0.0632994475386104,0.0672912574867147,0.0714580871122712,0.0757594107405368,0.0802674369529001,0.0850185671489697,0.0899951851292886,0.0951798593652346,0.100509976994254,0.106036522978867,0.111847773234897,0.117967489708118,0.124259664794424,0.130713431328814,0.137354555449633,0.144207112123828,0.151203946218512,0.158374808599086,0.165692913409126,0.173268909813495,0.181038803149766,0.188930478310916,0.197093767809354,0.205458609917712,0.214097370477387,0.222947035750495,0.231987925490809,0.24114419841719,0.250377905742102,0.259870208476686,0.269405532032875,0.279144673762704,0.289172393708,0.299423048770125,0.309833217093818,0.320501953418506,0.331559389899129,0.342983063603452,0.354624091456338,0.366576024848808,0.378820814145663,0.391428436557397,0.404377461032692,0.417546798064269,0.431118910847257,0.445051427585023,0.45924860114901,0.473734834765718,0.4885444685273,0.503792125960644,0.519516048382627,0.53538100260117,0.551136920446982,0.566797116646463,0.582238842873154,0.597668124099052,0.613329956312694,0.62935159536589,0.645242152886306,0.660781405869278,0.676228567322574,0.691669954494294,0.707029093268775,0.72235897413242,0.737916744592604,0.753601974612825,0.76928846067404
"4",0.5,100,100,0.0770371644198928,0.0176221827908399,0.0046275842571924,0.00453152168061586,0.00453509650145743,0.0303427164084916,0.0434564462476683,0.0431310226789819,0.0426750689013265,0.042092696598518,0.0413958114898099,0.0405932678022913,0.0396952122369948,0.0387210064221232,0.0376846506895006,0.0366020496550079,0.0354949448233587,0.0343907116689364,0.0332934343388301,0.0322057421671937,0.0311520988229911,0.0301528557683735,0.0292379619492049,0.0284162209255226,0.0276877307453801,0.0270795413780071,0.0266062402274504,0.0262838876844506,0.0261482640546139,0.0262093644253425,0.0264734978038773,0.0269410341419621,0.027604884826062,0.0284877790765425,0.029596186057649,0.0309445113634888,0.032536920099348,0.0343511178534026,0.0363750836650486,0.0386383180118437,0.0411073224013464,0.0437586458911546,0.0465573868242478,0.049529292409641,0.0526786001035847,0.0559543235789857,0.05938308017409,0.063023499610079,0.0668651839339431,0.0708556599057901,0.075029203166475,0.0793937885400119,0.0839550996279949,0.088719104781028,0.0937311080269236,0.0989456318472081,0.104373615161201,0.109968124503624,0.115766185918435,0.121770579835805,0.127866304527341,0.134035991773464,0.140374383739081,0.146868990730007,0.153554602584067,0.160412151882724,0.167466400708976,0.174668757334589,0.182130949796264,0.18977266114635,0.197499912302588,0.20538520102604,0.213557434879551,0.22197683018093,0.230423395869296,0.238946838891136,0.247664615548212,0.256477462029544,0.265438714475806,0.274508774496214,0.283698964864734,0.293069015138946,0.302567791608191,0.312314088143693,0.322208259913951,0.332115342910987,0.342351025511063,0.352859596125766,0.363574827315552,0.374481561402065,0.38553798219247,0.396843097523333,0.408319603103158,0.420096812598417,0.432205517267776,0.444616152017311,0.457376441762184,0.470297550271434,0.48361019937176,0.497260187188141,0.510859788365052,0.524443869913871,0.537730742592791,0.551060253000155,0.564325611362557,0.577504410177837
"5",0.5,1000,10,0.0113787978916754,0.00475537087037255,0.00463642313943707,0.00462053739307855,0.00462314972605119,0.00487448722785073,0.00463445556544342,0.00463470721461799,0.00463599706188507,0.0046385092160854,0.00464244288666201,0.00464800634752798,0.00465543093212505,0.00466494056430898,0.00467677221217739,0.00469120288490025,0.00470848117377263,0.00472889348379661,0.00475272767748783,0.004780285345856,0.00481186993969687,0.00484781199869825,0.00488845131911531,0.00493411720267509,0.00498517503999607,0.00504199533314455,0.00510495387519182,0.00517443554996016,0.00525085626326824,0.00533461254058794,0.00542613912539557,0.00552583937810544,0.00563402425168397,0.00575100150896069,0.00587722829860917,0.00601334053495991,0.00615994876545485,0.00631717017405528,0.00648505950106068,0.0066643810370742,0.00685572408720348,0.00705994659090572,0.00727671818240787,0.00750660733992563,0.00775095117233885,0.00800931474170627,0.0082826513668871,0.0085708217626483,0.00887418809182966,0.00919277298403379,0.00952788710868892,0.00987976152757087,0.0102498168631373,0.0106376152759907,0.0110417823041649,0.0114611540783111,0.0118961706622507,0.0123500205067582,0.012821790440975,0.0133119220303913,0.0138172086570775,0.0143375681686303,0.0148756773309979,0.0154312011862483,0.0160020864832667,0.0165879260889004,0.0171877734241514,0.017801105143196,0.0184293212539322,0.0190713210182147,0.0197270147093928,0.0203961865630047,0.0210792309084942,0.0217767139486708,0.0224905060748213,0.023220846128605,0.0239656772563803,0.0247294998234391,0.0255053604365685,0.0262955041012676,0.0271021626578404,0.02792567759255,0.0287610047157949,0.0296067353931653,0.0304690130763261,0.0313468787551992,0.0322414547520504,0.0331505201178563,0.034075543136181,0.0350147741893992,0.0359591944482381,0.0369184077693365,0.0378940953309834,0.038887037118311,0.0398929185221284,0.0409129695139636,0.0419522472435076,0.0430083926549335,0.0440878794425367,0.045188428229979,0.0463051367060072,0.0474367358671595,0.048587580234082,0.0497556071099825,0.0509375650611954,0.0521283251976875
"6",0.5,1000,100,0.0110727430773128,0.00406973704435343,0.0039628029525152,0.00384377407773713,0.00384368001564578,0.00417538895432809,0.00398588989097136,0.00398592537056948,0.00398609538413999,0.00398645620642805,0.00398707273608334,0.00398801967116177,0.00398937519565879,0.00399122836814481,0.00399367652778441,0.00399682080391405,0.00400077607387228,0.00400566419422576,0.00401160525984003,0.00401874224510493,0.00402721150114006,0.00403716924929746,0.00404877307137234,0.00406219081914351,0.00407759351975492,0.00409516650912815,0.00411510074237704,0.00413759148087557,0.00416284346724384,0.00419107676673735,0.00422251069857711,0.00425736654882667,0.00429589521953561,0.0043383317096144,0.00438493156690417,0.00443595538863584,0.00449167476783648,0.00455236222740303,0.00461830306993318,0.00468979340063604,0.00476712882493591,0.00485061661616727,0.00494057372216938,0.00503732439567415,0.00514120185884543,0.00525254084005043,0.00537169244263216,0.00549900702993555,0.00563485597303296,0.00577959396715004,0.00593345130403507,0.00609675986201312,0.00627010638968205,0.00645389505690683,0.00664854014255287,0.00685443627790316,0.00707203784048654,0.00730175185711092,0.0075439579765114,0.00779892043061437,0.0080671449371625,0.00834872164928124,0.00864358019626736,0.00895294624721194,0.00927663219982329,0.00961508720579966,0.00996816300820478,0.0103354716653836,0.0107173630229672,0.0111136694670372,0.0115246636530511,0.0119508572497318,0.0123909795490538,0.0128462922469034,0.0133159962312659,0.0138005227679319,0.014298882858601,0.014810336490072,0.0153341760645358,0.0158706496065424,0.0164186497845002,0.0169737679905463,0.0175383054073072,0.0181133668180652,0.0186967432472245,0.0192917786704731,0.0198955142393816,0.020510952717581,0.0211380818870859,0.0217780580409361,0.0224297928008934,0.0230930283227902,0.0237710555435917,0.0244601784652184,0.0251623713538692,0.0258781239887881,0.0266059802653204,0.0273447261610864,0.0280943484234204,0.0288561760013609,0.0296286344856888,0.0304142364102383,0.0312100243117469,0.032013920695747,0.0328307337192044,0.0336602165413954
"7",1,50,10,0.252223672980485,0.0997603730430373,0.0328264909471512,0.0553538763888235,0.0553601321077092,0.114390537210524,0.524738504208793,0.514633413770371,0.502260070466208,0.487738673636355,0.47123570259133,0.452882265427084,0.433045989992285,0.411883488870633,0.389723786499844,0.366982415384496,0.343824547972835,0.320585767881517,0.297562644234415,0.27496580332203,0.253064590133489,0.232104616046811,0.212405254657309,0.194191545092188,0.177536990726142,0.162384672067313,0.14903235338306,0.137482195874356,0.128020345520798,0.120470992775413,0.114701777828264,0.110719298819499,0.108560723715088,0.107931153126258,0.108915041601815,0.111565300595653,0.11562430654589,0.120907547644965,0.127341034434712,0.134803755969802,0.143143986874606,0.152062059253812,0.161646827888818,0.172020661080538,0.183255732941554,0.195063866409494,0.207303495797546,0.220243529303523,0.233738659577119,0.247765684023378,0.262016109506873,0.27692743107741,0.29257455343426,0.308689850911159,0.325140713234757,0.341957777647798,0.358848088092269,0.37575951451865,0.392935054682623,0.410741011668127,0.429049762574431,0.448024404735735,0.467596265460243,0.487438017916428,0.508000733157608,0.529027817276765,0.549721252898718,0.570707160098416,0.592239989576668,0.614120993080476,0.636693706358117,0.65923691375758,0.681684095324003,0.704207938150969,0.726711710071404,0.749211702493451,0.772199704560584,0.795904555268584,0.820189789317837,0.844881415746525,0.870223885422149,0.896152125195378,0.923003429508014,0.950823350734083,0.979712892121847,1.00954851684675,1.0403612273458,1.07211489533656,1.10412313212018,1.13710551312139,1.17055805594607,1.20520561046029,1.24052351783077,1.27695431917592,1.3146455132167,1.35362577833005,1.393923634554,1.43556816234482,1.47858860436566,1.52298772417182,1.56714178509362,1.61111447748374,1.65443417237051,1.69909149160375,1.74402464671095,1.78783513362363
"8",1,50,100,0.27473637429967,0.0788733160233523,0.0069683012224508,0.00711668393600223,0.00714298004596705,0.109253083246693,0.778316207518892,0.773364306856006,0.765763627170943,0.755540154959772,0.742778153984517,0.727586958359288,0.71011359443719,0.690554279511809,0.669042202870421,0.645775675267021,0.620932203894831,0.594843058713722,0.567682214985252,0.539653891450208,0.511259552266763,0.48251722586588,0.453948447455104,0.425801264818485,0.398171615948368,0.371263751269551,0.345203753768767,0.320028320878154,0.296106853743988,0.273633382415338,0.25284711025584,0.233843365780016,0.216461162020249,0.200695236103291,0.186616441611387,0.174482288728908,0.16424392111266,0.156017458921952,0.150006272577417,0.145824757402941,0.143192453668488,0.141856998428891,0.141836569621811,0.142855032612077,0.144962683600938,0.148060313696008,0.152153453120568,0.157135430180612,0.163004686548382,0.169742796159025,0.177210596789742,0.185421300919629,0.194310688766404,0.203873361602699,0.214059586875584,0.225057188660382,0.236848684525786,0.249419621727668,0.262430373511327,0.276133392848546,0.29031240411958,0.304998504828042,0.31988900079654,0.335099451698919,0.350735186893225,0.366955725035672,0.383575971577989,0.400736384214994,0.418333523460555,0.436534519123258,0.455291789382568,0.473969306672047,0.49306615259323,0.512511590538957,0.532393678770534,0.552547585147368,0.572789285983014,0.593136255248793,0.613571346223036,0.634004229377785,0.654423542736286,0.67506138945023,0.695160092539084,0.715459765121226,0.735934690576163,0.756369262829308,0.777261936258433,0.798543977062008,0.820206258328096,0.842582940148283,0.865790279713862,0.889665036162941,0.91412274969129,0.939268117040434,0.965300455977884,0.992181530736234,1.01991621397482,1.04836414535529,1.07768175019542,1.10796500818027,1.13914223914592,1.17062382293864,1.20298496035876,1.23638036025966,1.2694613864934,1.30247126438018
